ETHaddress,DOTaddress
0xb3c2a4ce7ce57a74371b7e3dae8f3393229c2aac,16fM2nc4mxA65FLsCqxxpJthdh8f79KYC5V9QeC3YL6EEYG2
0x2d7b42e27e2382e2d28e06bde9d82413906c6c03,
0x1f8978b550c0291627d5604a84e76fc044c23fb5,14LPktAnKHGDy4aFz1rcuSq71FN5osbx1WSHPht2vmLdH74X
0x00b2a5e72fe4377d708351ff33ceedfedcce3c67,
0x123685f3b3c7550254f187ca3746db61e6a248fd,16D2o7EbRp86rTQ427TuwfUTa6UJGvxFWAzGdTysMuu1KLZ7
0xa20a5419f34167dc1b4ed5a22a8888ea6773520a,
0x1bc24e64bd4446b8873a956a4fc1d1af2b798a2d,13WDgWvQDgCdWiLTHFMWqJ3saoPijVmmQpn1UVB5ZGctQCmD
0x74ebb92f67bd7a62e95e8129177921c2808b1070,
0x7a669ef68da390965ed95cce8f02f6a11a6520ba,
0xc003133c97db8ed8cb2d008f29b97414fbf48f62,
0xe60cd5cfd2a79cb84942b411750fae1f800b5dde,
0x2b3d18c655353ca14fb9d4ba8d047d08d1140974,12GU59R7ZEsjiu8uAtipVpHHSaruMA86r3QbKmK7PGQdznt4
0xb79356aad9bf2116efe1a66ed55bf1a0d124393b,
0xaddb5210dce9127918db041caee93be7b50ce633,16XpPeWVLPr1itvzg211CpqLUvRsm4STQp7vMTKNTuKexcQJ
0x061c15a9ce506d6169cb3f7269b6b426c1d7223c,
0x70f055cd7b671c7d5f167c93b506f30ee46c9938,
0x4185524e7b4ec8f909a435f4ac705f9348105b32,14xCr6YpCyki8TdjkJr6yhUKzsTqNFuaFeLZ87YK1kQV2ABW
0x0887159799951fa038ecd71dd8335d2c19d14d29,
0x00db158028c2d7db707c525956aa3fde0409eca0,
0x0adf0238f7edcb1733269f852ff86bd4a9f37b99,
0xd8f150feb4983f36ab7bf83f0829c94a00471c1e,
0x17d907986cf67f89bc3ef8e874391495a0640395,15oJDEfMDTuhZ6u9Pnjhnb8DUdWJd7MTk4yVNmBYjtJqAsyr
0x032f6b944721fd338858bcc0e323d9afe77e0a40,1Ho7XRibT4v8zN5wwSi27DLE5NxQQ1NwEAxxwng7dX4zsxA
0x67936306c1490db7c491b0fe56bcf067ede1fd28,
0x00e5cdd4b7b3a78a4277749957553371cb6b2310,
0x225f3e472c48e708915cb4b24a3091f22fda52eb,
0x07d1920e45d63344fd7b9a3de9befd133e61e081,
0xb16547a72b4d9f37fe34fd67259d07f65953d141,
0xcd0cbe2eefa616252e493b03b5c2dbb9060784ff,
0x63c62d874ed1c6fb31ecf56529892875ac6b467b,
0xbdac7423ca974deb9f4d5db731cbc3f5c64e3f4b,
0xe8fc0738b7450ebf2b496cd15652b1805346be72,
0x45ddca7c0426fb78561229a9958873ae9cae4e79,
0xb4fcdf9e6c5fc7ab486cb70177e3676f1df239f4,12EuucoVGdioksm9pXspKkyq5A9BzV2CkqFC6Y5Ug7AByxok
0x0055a15e869bb215e605335181284aee8be30a50,12KEiVDZYe69ZNU7NDaB8D6vrm4eHHocp2r7jb56ymp7mS4h
0x879B86A32A6d56f04DB27fCA343ea8844C98fB27,
0xC923b032f3c9641CFCBc6A909Fb66b29fAA5449E,13XrPvb31J1hMubYuF9ikghHc4U7waBbpip7HProcyNsSHHM
0x0048d77cD53479C2E9594d55F058A224041C11cE,
0xaEB41235F3375E4a0c3006882b6Ae446a4818753,
0x01B54F22dEfF4e08365C731d923A31379AEf62FF,
0xBef780aC34CF7b53b5624b863D1A84918e6deFbC,
0x01BDb7Ada61C82E951b9eD9F0d312DC9Af0ba0f2,
0x06d6ee9ea1c648071973cde4669d95955d496422,
0x1B282F5Fe4bd0BfdA21A07F7184BfD720bcb0886,
0xAa5B7173d21d9B242090802b59101e11d01875a4,
0x54036DCFa7dEaE92F0D948088690cfDFea648143,
0xbFD4eC210C56B55741dd97d1C6b80D33042D6946,16U1ofqoHVwX6FTWi5cWZzdwt1hDrth25n4LNH4t6XXjRFZG
0x54970D8D6d8f8dBe9C87Ab9CAb9057fa5039E4AB,
0x3E5407F5155871D8d0B2e91d2E09408b9F42E4C5,
0x00f1A0aDc19a2cb4F04BeF8a27e35039d0D90746,
0x8A77E549aB954b951A118C7106Bb46E606E9c445,
0x1f8a9Aa97618C77Fad4bE22fba26D4ea0507119C,
0x6851cAB6bFadFa47246dD71528C4d519aeB85fd4,
0xB795fa77B056E488eB37a624a0f6a6dB1e1401A8,
0x16c09044A80D3A419403362413241EA81d5Fa78b,
0x4eceC9488Fbdd8393c9789f28F557B02C1d5DAB6,
0x00c509424Fd0794e367683B213a91f3CD83d1180,
0x7Ff48B76335074baa82F4236dc673B6C56A8A703,
0xa3041ce2Ef4e9dDAd0EE763522A641b03863d5A5,
0x175A83F4A1aBBB88f6Facc969d669Cae9F48d7C1,
0x3A6D927022815090C856377C74B4128f1FB114Cb,
,14VBt7f6fn9FygMAvwpC53vSPf5GbzUyWCZQwastEUJNpa6m
,16G7oUB99KnnfzWdJ28uuoV3zMW55yJgq8r8GR4xmFwchx33
,158v8Jr1YVSw3oAvRcvX7tBwupEoqRbSRAwYx1Ms3FDRaZ4p
,14dvU9ZjrVDcmWCr1cHffihhN2U6k2Ds7tWCDoYZiyknCgTr
,1vPJUHUEGUruTuLvaowxJouoEhnx4UbQU2hfCiG4wa7FPYh
,15oewCEzZLzWJDfP4Ljre54nrZhvb5cFpdxvMt1wcmvisBHb
,19k77Gtu4nDk63gDDPoR5RTSn5TZoUiL4Ftx1WpdYLeVhH2
,14STCt64BaqySTfmrjogYMe4SwjQx4DkLDye1MBYqg4J1rnk
,16Lk1NujHWWmQfDoETTN6ybUKZJxaJoVTvoaksWkkKV3aNqL
,13EeZf3ZWotu5to8o5Rzf5AZDdJfpKwq5puDbz6LVbD5aYLk
,155jiSNixzomeLXteudTYhUzEMnXjPbUgoTxRDmRchKqvriW
,1993bYeoq1qZNptu9AptiNT2vtW31vLrTUjunsT3jjBgArN
,15DiVa5cMJS2UTFmMFdFvfNw9HScDEmKFKsPeri3sEKS5Rh9
,12YnPr4NjWsTqTr7ZMFyFtvNHfRdMhwuCSqrQBtzXt9FGNhQ
,15w2dTfcES83oZG82J3gxiP7TJfGDUS1MmVzxPPo4YNr9h6L
,15fNZmAVqLdg6JMD9ZRtzhXrouzd2D4YTWdg3WYW8yZae6F2
,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg
,15XvCMw8qZTeJXypiScV7jkN8djNaQQQZxiSwTaGGzSMnRKV
,12h6sYDTVngBymspzTUHAQ7MqgGJ5NgavXhTzAiqNGN6RXm9
,5HKo8mCPnhKPS9BHvivbr1rdpLHRvAKuteP1YKewbEmMCWha
,H3wWEJm4EPGzWurJYF7zA5Bp3pR42H8Nww1gdgSchqTtQrK
,14DGvbecQRWisHUDax9QKe4wnSm3XGZQEJqj5RaAqLoGqMBg
0x1Fae6FDcFF481d6966BB864E8bA258C43DF1D2da,